970,4,3536
3620,15,3652
3511,48,1077
6079,015A,486
967,9,3878
5334,20,2180
3513,77,1316
3621,24,3766
6020,7,350
2540,004I,200
1522,33,426
7077,8,255
1179,18,718
7528,48,67
920,002G,3621
2802,50,857
5000,35,89
6575,1,3555
1225,20,1776
697,39,1400
1007,26,3225
1102,17,1247
164,011A,920
105,19,350
1751,10,1289
318,14,500
251,12,1262
4263,008A,1386
618,003B,1840
3123,7,209
6795C,4,136
1539,3,4141
1095,5,2425
499,001A,2757
1857,016B,1595
2114,5,1945
1446,24,5000
3620,049A,839
1683,9,847
1095,5,2425
7059,34,116
5968,8,444
1367,51,653
1498,32,572
493,3,105
0467A,46,180
5609,18,16
3721,120,555
3740,34,221
3721,120,555
3740,34,221
3740,34,221
3740,34,221
2524,9,1370
3740,34,221
2004,43,1726
229,20,333
3582,8,450
2362,45,2300
3582,20,4024
3582,20,4026
250,1,1401
237,6,200
2376,9,2335
5804,23,39
2804,23,645
1230,17,580
1230,17,588
2931,5,44
3196,11,1600
5895,18,210
6540,13,4330
3518,23,1345
3607,38,121
3196,11,1616
6997,23,818
227,28,505
3780,6,888
3725,25,988
2618,1,355
537,47,2410
2719,33,454
1879,001P,1567
3619,72,69
3705,42,865
2136,007D,2038
3704,35,440
3538,112,62
1456,24,6050
1510,22,4324
1635,028F,622
1635,028F,624
951,26,2615
3555,031A,30
2123A,010A,730
3564,45,60
5435,6,1950
3117,11,320
1931,39,1695
495,002B,1708
6618,2,1556
1764,8,1333
3564,45,62
964,1,2901
3915,1,101
650,13,1930
1173,7,40
1173,7,42
3745,640,338
318,17,673
310,22,117
517,22,2035
779,28,1235
519,58,3024
952,8,2508
1431,15,269
263,11,101
5395,39,63
3077,35,54
2901A,2,155
918,7,2245
1004,21,2088
3707,51,685
2884,24,125
941,32,2807
7118,37,162
6968,48,152
3090,3,433
604,23,2330
3708,28,71
3750,79,633
3751,157,370
7295,21,3251
8711,25,1155
3721,3,100
0222A,70,1170
518,26,3150
239,9,400
208,28,655
978,15,2719
4147,23,2533
270,2,335
980,9,2928
240,20,550
3708,28,71
2196,47,1225
259,26,555
2196,47,1225
2657,4,136
3558,148,2187
4710,81,845
259,26,555
318,14,500
3705,49,845
2627,1,101
2627,1,103
2036B,16,1774
489,36,2231
5721,21,355
1742,34,1220
262,13,255
1660,25,4152
5331,53,2019
318,14,500
3646,21,3549
2746,9,236
3793,5,88
2612,23,2440
320,20,837
3961,20,311
3741,32,201
3727,74,647
3727,74,649
535,29,2325
535,29,2327
2349,18,1030
7083,21,50
3596,57,273
2440,7,2527
7277,31,111
520,001B,2847
520,001B,2849
235,22,50
1002,31,2847
728,75,1340
266,9,1
176,10,100
3707,20,662
318,14,500
3707,16,90
5720,59,194
4792,18,1295
2613,18,2321
318,14,500
318,14,500
289,4,1
318,14,500
318,14,500
318,14,500
289,4,1
318,14,500
5418,13,1777
3643,3,2712
1591,2,645
3643,3,2712
3643,3,2712
3554,27,411
3643,15,3350
3643,15,3354
1788,020A,1384
5918,27,425
6256,20,397
998,15,224
998,15,230
0047C,103,1080
294,8,240
3709,14,425
976,76,2953
5556,7,118
976,77,2955
976,78,2957
976,79,2959
575,17,1770
2854,29,155
1159,16,1996
318,14,500
529,93,2828
4097,18,748
7138,39,157
1764,16,1377
3732,88,451
3002,46,375
6917A,11,437
5835,59,16
3278,6,53
678,105,1805
849,10,412
849,10,416
6549,39,3945
3760,11,476
6970,005C,765
3537,65,58
3537,65,60
6780,10,247
980,33,2900
1277,4,1027
4106,24,953
1277,4,1027
1601,011A,797
2618A,19,48
501,24,1263
501,24,1267
6508,32,3953
4013,23,509
1603,47,4037
4009,008K,525
1683,9,847
762,247,601
2063,55,1941
2063,54,1943
3708,43,595
5457,30,2809
5457,30,2811
2988A,5,150
2187,013B,2190
960,001M,44
6515,17,1387
690,101,1
6903,7,320
942,21,2846
1174,15,2
2618A,2,20
636,22,2130
1928B,44,1773
2767,9,4120
8711,14,1110
3564,91,2299
1217,29,360
537,10,2448
1552,1,1801
3705,42,865
1148,10,52
3582,57,4094
8710,7,718
2697,13,290
2064,001E,1823
181,5,1325
6409,10,965
3655,21,566
2202,001J,2151
1041,14,95
346,10,454
1015,39,3957
537,10,2450
5375,59,701
552,6,2425
552,6,2429
3758,128,930
3754,15,1020
6130,38,823
309,23,170
1526,35,5411
6415,22,1310
768,13,701
3543,1,210
200,14,460
